          194          509       483000    12.00000000000000     
 -0.383340502852135D-01 -0.666666666759630D-03  0.000000000000000D+00  0.000000000000000D+00
  0.383340502852135D-01 -0.666666666759630D-03  0.152852343254840-119  0.000000000000000D+00
  0.114512562597230D+00 -0.666666666759630D-03  0.488769962488658-118  0.000000000000000D+00
  0.189718154399878D+00 -0.666666666759630D-03  0.156243111856503-115  0.000000000000000D+00
  0.263963257809189D+00 -0.666666666759630D-03  0.283926817510369-113  0.000000000000000D+00
  0.337260146164386D+00 -0.666666666759630D-03  0.368691539256747-111  0.000000000000000D+00
  0.409620936056780D+00 -0.666666666759630D-03  0.380513422898996-109  0.000000000000000D+00
  0.481057589332746D+00 -0.666666666759630D-03  0.330668948309416-107  0.000000000000000D+00
  0.551581915071112D+00 -0.666666666759630D-03  0.250767265525935-105  0.000000000000000D+00
  0.621205571535301D+00 -0.666666666759630D-03  0.169974638190686-103  0.000000000000000D+00
  0.689940068100540D+00 -0.666666666759630D-03  0.104714627466533-101  0.000000000000000D+00
  0.757796767156457D+00 -0.666666666759630D-03  0.593486667777950-100  0.000000000000000D+00
  0.824786885985374D+00 -0.666666666759630D-03  0.312259479843918D-98  0.000000000000000D+00
  0.890921498616632D+00 -0.666666666759630D-03  0.153569382001199D-96  0.000000000000000D+00
  0.956211537657203D+00 -0.666666666759630D-03  0.709733614881765D-95  0.000000000000000D+00
  0.102066779609895D+01 -0.666666666759630D-03  0.309544733301537D-93  0.000000000000000D+00
  0.108430092910281D+01 -0.666666666759630D-03  0.127840964863470D-91  0.000000000000000D+00
  0.114712145576016D+01 -0.666666666759630D-03  0.501362703481340D-90  0.000000000000000D+00
  0.120913976083172D+01 -0.666666666759630D-03  0.187148267398637D-88  0.000000000000000D+00
  0.127036609646426D+01 -0.666666666759630D-03  0.666244851070029D-87  0.000000000000000D+00
  0.133081058388533D+01 -0.666666666759630D-03  0.226588883229274D-85  0.000000000000000D+00
  0.139048321507642D+01 -0.666666666759630D-03  0.737305509798932D-84  0.000000000000000D+00
  0.144939385442469D+01 -0.666666666759630D-03  0.229843299110857D-82  0.000000000000000D+00
  0.150755224035366D+01 -0.666666666759630D-03  0.687228530276028D-81  0.000000000000000D+00
  0.156496798693302D+01 -0.666666666759630D-03  0.197294082543099D-79  0.000000000000000D+00
  0.162165058546796D+01 -0.666666666759630D-03  0.544360597322352D-78  0.000000000000000D+00
  0.167760940606812D+01 -0.666666666759630D-03  0.144477288110717D-76  0.000000000000000D+00
  0.173285369919660D+01 -0.666666666759630D-03  0.369150088661710D-75  0.000000000000000D+00
  0.178739259719907D+01 -0.666666666759630D-03  0.908701183154331D-74  0.000000000000000D+00
  0.184123511581348D+01 -0.666666666759630D-03  0.215653087874196D-72  0.000000000000000D+00
  0.189439015566042D+01 -0.666666666759630D-03  0.493729323760359D-71  0.000000000000000D+00
  0.194686650371445D+01 -0.666666666759630D-03  0.109115349951936D-69  0.000000000000000D+00
  0.199867283475669D+01 -0.666666666759630D-03  0.232914425899100D-68  0.000000000000000D+00
  0.204981771280882D+01 -0.666666666759630D-03  0.480459820610593D-67  0.000000000000000D+00
  0.210030959254878D+01 -0.666666666759630D-03  0.958280255960293D-66  0.000000000000000D+00
  0.215015682070840D+01 -0.666666666759630D-03  0.184891427159031D-64  0.000000000000000D+00
  0.219936763745319D+01 -0.666666666759630D-03  0.345250428805532D-63  0.000000000000000D+00
  0.224795017774453D+01 -0.666666666759630D-03  0.624224421882054D-62  0.000000000000000D+00
  0.229591247268438D+01 -0.666666666759630D-03  0.109326253780127D-60  0.000000000000000D+00
  0.234326245084297D+01 -0.666666666759630D-03  0.185552341044334D-59  0.000000000000000D+00
  0.239000793956942D+01 -0.666666666759630D-03  0.305310236045001D-58  0.000000000000000D+00
  0.243615666628565D+01 -0.666666666759630D-03  0.487212165638920D-57  0.000000000000000D+00
  0.248171625976383D+01 -0.666666666759630D-03  0.754328077271479D-56  0.000000000000000D+00
  0.252669425138744D+01 -0.666666666759630D-03  0.113351297149307D-54  0.000000000000000D+00
  0.257109807639629D+01 -0.666666666759630D-03  0.165375430192514D-53  0.000000000000000D+00
  0.261493507511563D+01 -0.666666666759630D-03  0.234338591632393D-52  0.000000000000000D+00
  0.265821249416958D+01 -0.666666666759630D-03  0.322619950171793D-51  0.000000000000000D+00
  0.270093748767901D+01 -0.666666666759630D-03  0.431673996917191D-50  0.000000000000000D+00
  0.274311711844421D+01 -0.666666666759630D-03  0.561535479838512D-49  0.000000000000000D+00
  0.278475835911247D+01 -0.666666666759630D-03  0.710381175724629D-48  0.000000000000000D+00
  0.282586809333061D+01 -0.666666666759630D-03  0.874242660227101D-47  0.000000000000000D+00
  0.286645311688303D+01 -0.666666666759630D-03  0.104695854733229D-45  0.000000000000000D+00
  0.290652013881501D+01 -0.666666666759630D-03  0.122042741298185D-44  0.000000000000000D+00
  0.294607578254183D+01 -0.666666666759630D-03  0.138517598047819D-43  0.000000000000000D+00
  0.298512658694364D+01 -0.666666666759630D-03  0.153119908864820D-42  0.000000000000000D+00
  0.302367900744643D+01 -0.666666666759630D-03  0.164897084416668D-41  0.000000000000000D+00
  0.306173941708913D+01 -0.666666666759630D-03  0.173048393238209D-40  0.000000000000000D+00
  0.309931410757716D+01 -0.666666666759630D-03  0.177015767860894D-39  0.000000000000000D+00
  0.313640929032245D+01 -0.666666666759630D-03  0.176547065048647D-38  0.000000000000000D+00
  0.317303109747032D+01 -0.666666666759630D-03  0.171721822385746D-37  0.000000000000000D+00
  0.320918558291307D+01 -0.666666666759630D-03  0.162936011893596D-36  0.000000000000000D+00
  0.324487872329086D+01 -0.666666666759630D-03  0.150849314249236D-35  0.000000000000000D+00
  0.328011641897958D+01 -0.666666666759630D-03  0.136304497548960D-34  0.000000000000000D+00
  0.331490449506633D+01 -0.666666666759630D-03  0.120232359028490D-33  0.000000000000000D+00
  0.334924870231227D+01 -0.666666666759630D-03  0.103556748219003D-32  0.000000000000000D+00
  0.338315471810337D+01 -0.666666666759630D-03  0.871125067094149D-32  0.000000000000000D+00
  0.341662814738881D+01 -0.666666666759630D-03  0.715854087916792D-31  0.000000000000000D+00
  0.344967452360762D+01 -0.666666666759630D-03  0.574784063376351D-30  0.000000000000000D+00
  0.348229930960338D+01 -0.666666666759630D-03  0.451037674419424D-29  0.000000000000000D+00
  0.351450789852725D+01 -0.666666666759630D-03  0.345969408569001D-28  0.000000000000000D+00
  0.354630561472950D+01 -0.666666666759630D-03  0.259456922793534D-27  0.000000000000000D+00
  0.357769771463973D+01 -0.666666666759630D-03  0.190273459785221D-26  0.000000000000000D+00
  0.360868938763573D+01 -0.666666666759630D-03  0.136475848709533D-25  0.000000000000000D+00
  0.363928575690136D+01 -0.666666666759630D-03  0.957576600630856D-25  0.000000000000000D+00
  0.366949188027346D+01 -0.666666666759630D-03  0.657359258731382D-24  0.000000000000000D+00
  0.369931275107794D+01 -0.666666666759630D-03  0.441581133218631D-23  0.000000000000000D+00
  0.372875329895524D+01 -0.666666666759630D-03  0.290307809980249D-22  0.000000000000000D+00
  0.375781839067521D+01 -0.666666666759630D-03  0.186811685211206D-21  0.000000000000000D+00
  0.378651283094164D+01 -0.666666666759630D-03  0.117678509845502D-20  0.000000000000000D+00
  0.381484136318654D+01 -0.666666666759630D-03  0.725742004928435D-20  0.000000000000000D+00
  0.384280867035423D+01 -0.666666666759630D-03  0.438224182200164D-19  0.000000000000000D+00
  0.387041937567551D+01 -0.666666666759630D-03  0.259100650911474D-18  0.000000000000000D+00
  0.389767804343188D+01 -0.666666666759630D-03  0.150009637411649D-17  0.000000000000000D+00
  0.392458917971008D+01 -0.666666666759630D-03  0.850470229317341D-17  0.000000000000000D+00
  0.395115723314699D+01 -0.666666666759630D-03  0.472159303549086D-16  0.000000000000000D+00
  0.397738659566501D+01 -0.666666666759630D-03  0.256682275159795D-15  0.000000000000000D+00
  0.400328160319807D+01 -0.666666666759630D-03  0.136633261074311D-14  0.000000000000000D+00
  0.402884653640842D+01 -0.666666666759630D-03  0.712083607696440D-14  0.000000000000000D+00
  0.405408562139427D+01 -0.666666666759630D-03  0.363298905488558D-13  0.000000000000000D+00
  0.407900303038836D+01 -0.666666666759630D-03  0.181418746080791D-12  0.000000000000000D+00
  0.410360288244769D+01 -0.666666666759630D-03  0.886525736478896D-12  0.000000000000000D+00
  0.412788924413445D+01 -0.666666666759630D-03  0.423813742670600D-11  0.000000000000000D+00
  0.415186613018821D+01 -0.666666666759630D-03  0.198148566627441D-10  0.000000000000000D+00
  0.417553750418963D+01 -0.666666666759630D-03  0.905665033812737D-10  0.000000000000000D+00
  0.419890727921567D+01 -0.666666666759630D-03  0.404482876249847D-09  0.000000000000000D+00
  0.422197931848644D+01 -0.666666666759630D-03  0.176418785789842D-08  0.000000000000000D+00
  0.424475743600383D+01 -0.666666666759630D-03  0.750951980585154D-08  0.000000000000000D+00
  0.426724539718198D+01 -0.666666666759630D-03  0.311715031096916D-07  0.000000000000000D+00
  0.428944691946978D+01 -0.666666666759630D-03  0.126057841920931D-06  0.000000000000000D+00
  0.431136567296534D+01 -0.666666666759630D-03  0.496080580356670D-06  0.000000000000000D+00
  0.433300528102273D+01 -0.666666666759630D-03  0.189713619618596D-05  0.000000000000000D+00
  0.435436932085091D+01 -0.666666666759630D-03  0.703806579399917D-05  0.000000000000000D+00
  0.437546132410514D+01 -0.666666666759630D-03  0.252725572377661D-04  0.000000000000000D+00
  0.439628477747070D+01 -0.666666666759630D-03  0.875794580283944D-04  0.000000000000000D+00
  0.441684312323935D+01 -0.666666666759630D-03  0.291702566829079D-03  0.000000000000000D+00
  0.443713975987832D+01 -0.666666666759630D-03  0.928392023988203D-03  0.000000000000000D+00
  0.445717804259215D+01 -0.666666666759630D-03  0.279961838950954D-02  0.000000000000000D+00
  0.447696128387727D+01 -0.666666666759630D-03  0.790267405955105D-02  0.000000000000000D+00
  0.449649275406964D+01 -0.666666666759630D-03  0.205398470736423D-01  0.000000000000000D+00
  0.451577568188534D+01 -0.666666666759630D-03  0.481705127047563D-01  0.000000000000000D+00
  0.453481325495431D+01 -0.666666666759630D-03  0.998223959218415D-01  0.000000000000000D+00
  0.455360862034729D+01 -0.666666666759630D-03  0.179879777749626D+00  0.000000000000000D+00
  0.457216488509605D+01 -0.666666666759630D-03  0.280549183195320D+00  0.000000000000000D+00
  0.459048511670701D+01 -0.666666666759630D-03  0.382600650458998D+00  0.000000000000000D+00
  0.460857234366836D+01 -0.666666666759630D-03  0.466892217175423D+00  0.000000000000000D+00
  0.462642955595062D+01 -0.666666666759630D-03  0.524998114243607D+00  0.000000000000000D+00
  0.464405970550099D+01 -0.666666666759630D-03  0.559511512369542D+00  0.000000000000000D+00
  0.466146570673127D+01 -0.666666666759630D-03  0.577820153887022D+00  0.000000000000000D+00
  0.467865043699967D+01 -0.666666666759630D-03  0.586848588758358D+00  0.000000000000000D+00
  0.469561673708645D+01 -0.666666666759630D-03  0.591206062096192D+00  0.000000000000000D+00
  0.471236741166352D+01 -0.666666666759630D-03  0.593430517396028D+00  0.000000000000000D+00
  0.472890522975810D+01 -0.666666666759630D-03  0.594762915159686D+00  0.000000000000000D+00
  0.474523292521041D+01 -0.666666666759630D-03  0.595765116778689D+00  0.000000000000000D+00
  0.476135319712568D+01 -0.666666666759630D-03  0.596678581036386D+00  0.000000000000000D+00
  0.477726871032024D+01 -0.666666666759630D-03  0.597602726983944D+00  0.000000000000000D+00
  0.479298209576212D+01 -0.666666666759630D-03  0.598576314509934D+00  0.000000000000000D+00
  0.480849595100592D+01 -0.666666666759630D-03  0.599612847381576D+00  0.000000000000000D+00
  0.482381284062222D+01 -0.666666666759630D-03  0.600715607109427D+00  0.000000000000000D+00
  0.483893529662152D+01 -0.666666666759630D-03  0.601883970013993D+00  0.000000000000000D+00
  0.485386581887284D+01 -0.666666666759630D-03  0.603116044779114D+00  0.000000000000000D+00
  0.486860687551690D+01 -0.666666666759630D-03  0.604409757118095D+00  0.000000000000000D+00
  0.488316090337419D+01 -0.666666666759630D-03  0.605763274314640D+00  0.000000000000000D+00
  0.489753030834777D+01 -0.666666666759630D-03  0.607175147033887D+00  0.000000000000000D+00
  0.491171746582097D+01 -0.666666666759630D-03  0.608644330435915D+00  0.000000000000000D+00
  0.492572472105009D+01 -0.666666666759630D-03  0.610170155564201D+00  0.000000000000000D+00
  0.493955438955208D+01 -0.666666666759630D-03  0.611752282694256D+00  0.000000000000000D+00
  0.495320875748730D+01 -0.666666666759630D-03  0.613390650934811D+00  0.000000000000000D+00
  0.496669008203747D+01 -0.666666666759630D-03  0.615085430456206D+00  0.000000000000000D+00
  0.498000059177877D+01 -0.666666666759630D-03  0.616836980022696D+00  0.000000000000000D+00
  0.499314248705026D+01 -0.666666666759630D-03  0.618645810745688D+00  0.000000000000000D+00
  0.500611794031763D+01 -0.666666666759630D-03  0.620512556133178D+00  0.000000000000000D+00
  0.501892909653228D+01 -0.666666666759630D-03  0.622437948115201D+00  0.000000000000000D+00
  0.503157807348595D+01 -0.666666666759630D-03  0.624422798551714D+00  0.000000000000000D+00
  0.504406696216077D+01 -0.666666666759630D-03  0.626467985668347D+00  0.000000000000000D+00
  0.505639782707495D+01 -0.666666666759630D-03  0.628574444862503D+00  0.000000000000000D+00
  0.506857270662402D+01 -0.666666666759630D-03  0.630743163349809D+00  0.000000000000000D+00
  0.508059361341785D+01 -0.666666666759630D-03  0.632975178164814D+00  0.000000000000000D+00
  0.509246253461330D+01 -0.666666666759630D-03  0.635271577082421D+00  0.000000000000000D+00
  0.510418143224273D+01 -0.666666666759630D-03  0.637633502083918D+00  0.000000000000000D+00
  0.511575224353836D+01 -0.666666666759630D-03  0.640062155050961D+00  0.000000000000000D+00
  0.512717688125248D+01 -0.666666666759630D-03  0.642558805431006D+00  0.000000000000000D+00
  0.513845723397368D+01 -0.666666666759630D-03  0.645124799677761D+00  0.000000000000000D+00
  0.514959516643901D+01 -0.666666666759630D-03  0.647761572329441D+00  0.000000000000000D+00
  0.516059251984226D+01 -0.666666666759630D-03  0.650470658646469D+00  0.000000000000000D+00
  0.517145111213832D+01 -0.666666666759630D-03  0.653253708788527D+00  0.000000000000000D+00
  0.518217273834370D+01 -0.666666666759630D-03  0.656112503569809D+00  0.000000000000000D+00
  0.519275917083328D+01 -0.666666666759630D-03  0.659048971891717D+00  0.000000000000000D+00
  0.520321215963327D+01 -0.666666666759630D-03  0.662065210015734D+00  0.000000000000000D+00
  0.521353343271051D+01 -0.666666666759630D-03  0.665163502907760D+00  0.000000000000000D+00
  0.522372469625815D+01 -0.666666666759630D-03  0.668346347961166D+00  0.000000000000000D+00
  0.523378763497765D+01 -0.666666666759630D-03  0.671616481492508D+00  0.000000000000000D+00
  0.524372391235731D+01 -0.666666666759630D-03  0.674976908505037D+00  0.000000000000000D+00
  0.525353517094723D+01 -0.666666666759630D-03  0.678430936336022D+00  0.000000000000000D+00
  0.526322303263088D+01 -0.666666666759630D-03  0.681982212950982D+00  0.000000000000000D+00
  0.527278909889316D+01 -0.666666666759630D-03  0.685634770829932D+00  0.000000000000000D+00
  0.528223495108518D+01 -0.666666666759630D-03  0.689393077619003D+00  0.000000000000000D+00
  0.529156215068564D+01 -0.666666666759630D-03  0.693262095010796D+00  0.000000000000000D+00
  0.530077223955900D+01 -0.666666666759630D-03  0.697247347689496D+00  0.000000000000000D+00
  0.530986674021029D+01 -0.666666666759630D-03  0.701355004660744D+00  0.000000000000000D+00
  0.531884715603687D+01 -0.666666666759630D-03  0.705591975922053D+00  0.000000000000000D+00
  0.532771497157691D+01 -0.666666666759630D-03  0.709966028273191D+00  0.000000000000000D+00
  0.533647165275480D+01 -0.666666666759630D-03  0.714485925199235D+00  0.000000000000000D+00
  0.534511864712349D+01 -0.666666666759630D-03  0.719161597299148D+00  0.000000000000000D+00
  0.535365738410378D+01 -0.666666666759630D-03  0.724004351853593D+00  0.000000000000000D+00
  0.536208927522062D+01 -0.666666666759630D-03  0.729027133087355D+00  0.000000000000000D+00
  0.537041571433644D+01 -0.666666666759630D-03  0.734244848881008D+00  0.000000000000000D+00
  0.537863807788156D+01 -0.666666666759630D-03  0.739674785740126D+00  0.000000000000000D+00
  0.538675772508173D+01 -0.666666666759630D-03  0.745337142717939D+00  0.000000000000000D+00
  0.539477599818285D+01 -0.666666666759630D-03  0.751255728300743D+00  0.000000000000000D+00
  0.540269422267281D+01 -0.666666666759630D-03  0.757458884660467D+00  0.000000000000000D+00
  0.541051370750062D+01 -0.666666666759630D-03  0.763980735717287D+00  0.000000000000000D+00
  0.541823574529281D+01 -0.666666666759630D-03  0.770862907230011D+00  0.000000000000000D+00
  0.542586161256709D+01 -0.666666666759630D-03  0.778156953540860D+00  0.000000000000000D+00
  0.543339256994337D+01 -0.666666666759630D-03  0.785927875230191D+00  0.000000000000000D+00
  0.544082986235217D+01 -0.666666666759630D-03  0.794259382341883D+00  0.000000000000000D+00
  0.544817471924038D+01 -0.666666666759630D-03  0.803262071623450D+00  0.000000000000000D+00
  0.545542835477456D+01 -0.666666666759630D-03  0.813086722665461D+00  0.000000000000000D+00
  0.546259196804157D+01 -0.666666666759630D-03  0.823947166948931D+00  0.000000000000000D+00
  0.546966674324687D+01 -0.666666666759630D-03  0.836162531026867D+00  0.000000000000000D+00
  0.547665384991022D+01 -0.666666666759630D-03  0.850242959536534D+00  0.000000000000000D+00
  0.548355444305904D+01 -0.666666666759630D-03  0.867087812828680D+00  0.000000000000000D+00
  0.549036966341935D+01 -0.666666666759630D-03  0.888542765981022D+00  0.000000000000000D+00
  0.549710063760430D+01 -0.666666666759630D-03  0.919568901858232D+00  0.000000000000000D+00
  0.550374847830049D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.551031428445180D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.551679914144114D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.552320412126986D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.552953028273491D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.553577867160392D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.554195032078806D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.554804625051277D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.555406746848644D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.556001497006698D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.556588973842636D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.557169274471313D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.557742494821298D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.558308729650729D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.558868072562979D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.559420616022131D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.559966451368259D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.560505668832532D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.561038357552124D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.561564605584956D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.562084499924247D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.562598126512900D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.563105570257703D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.563606915043370D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.564102243746404D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.564591638248802D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
  0.565075179451585D+01 -0.666666666759630D-03  0.100000000000000D+01  0.000000000000000D+00
