          194          509       483000    12.00000000000000     
  0.000000000000000D+00 -0.666666666759630D-03  0.100000000000000D+01
  0.766681005704271D-01 -0.666666666759630D-03  0.000000000000000D+00
  0.152357024624033D+00 -0.666666666759630D-03  0.000000000000000D+00
  0.227079284175724D+00 -0.666666666759630D-03  0.000000000000000D+00
  0.300847231442654D+00 -0.666666666759630D-03  0.000000000000000D+00
  0.373673060886118D+00 -0.666666666759630D-03  0.000000000000000D+00
  0.445568811227443D+00 -0.666666666759630D-03  0.000000000000000D+00
  0.516546367438049D+00 -0.666666666759630D-03  0.000000000000000D+00
  0.586617462704175D+00 -0.666666666759630D-03  0.000000000000000D+00
  0.655793680366427D+00 -0.666666666759630D-03  0.000000000000000D+00
  0.724086455834654D+00 -0.666666666759630D-03  0.000000000000000D+00
  0.791507078478261D+00 -0.666666666759630D-03  0.000000000000000D+00
  0.858066693492487D+00 -0.666666666759630D-03  0.000000000000000D+00
  0.923776303740776D+00 -0.666666666759630D-03  0.000000000000000D+00
  0.988646771573629D+00 -0.666666666759630D-03  0.000000000000000D+00
  0.105268882062428D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.111591303758135D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.117832987393897D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.123994964772447D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.130078254520405D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.136083862256662D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.142012780758623D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.147865990126316D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.153644457944415D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.159349139442188D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.164980977651403D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.170540903562222D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.176029836277098D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.181448683162716D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.186798339999981D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.192079691132103D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.197293609610787D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.202440957340552D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.207522585221213D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.212539333288544D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.217492030853137D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.222381496637502D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.227208538911403D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.231973955625473D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.236678534543122D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.241323053370762D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.245908279886368D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.250434972066398D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.254903878211090D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.259315737068168D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.263671277954959D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.267971220878957D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.272216276656844D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.276407147031999D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.280544524790495D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.284629093875628D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.288661529500978D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.292642498262024D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.296572658246341D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.300452659142387D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.304283142346899D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.308064741070927D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.311798080444504D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.315483777619987D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.319122441874077D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.322714674708538D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.326261069949633D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.329762213846283D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.333218685166982D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.336631055295473D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.339999888325200D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.343325741152561D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.346609163568964D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.349850698351713D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.353050881353736D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.356210241592164D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.359329301335782D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.362408576191364D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.365448575188908D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.368449800865784D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.371412749349805D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.374337910441244D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.377225767693798D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.380076798494530D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.382891474142778D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.385670259928068D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.388413615207033D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.391121993479342D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.393795842462674D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.396435604166725D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.399041714966277D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.401614605673336D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.404154701608348D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.406662422670506D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.409138183407166D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.411582393082373D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.413995455744517D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.416377770293125D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.418729730544802D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.421051725298333D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.423344138398955D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.425607348801810D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.427841730634587D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.430047653259370D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.432225481333699D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.434375574870847D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.436498289299336D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.438593975521691D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.440662979972448D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.442705644675421D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.444722307300243D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.446713301218186D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.448678955557267D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.450619595256660D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.452535541120408D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.454427109870455D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.456294614199003D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.458138362820206D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.459958660521197D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.461755808212475D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.463530102977650D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.465281838122549D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.467011303223706D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.468718784176229D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.470404563241061D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.472068919091643D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.473712126859976D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.475334458182106D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.476936181243029D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.478517560821020D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.480078858331405D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.481620331869779D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.483142236254665D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.484644823069640D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.486128340704927D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.487593034398453D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.489039146276386D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.490466915393168D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.491876577771026D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.493268366438992D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.494642511471424D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.495999240026037D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.497338776381457D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.498661341974297D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.499967155435756D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.501256432627770D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.502529386678687D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.503786228018503D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.505027164413651D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.506252401001339D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.507462140323466D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.508656582360104D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.509835924562555D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.511000361885991D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.512150086821681D+01 -0.666666666759630D-03  0.000000000000000D+00
  0.513285289428816D+01 -0.666666666759630D-03  0.000000000000000D+00
