         194         509           0   12.000000000000000     
 -0.383340502852135D-01  0.000000000000000D+00  0.000000000000000D+00
  0.383340502852135D-01  0.000000000000000D+00  0.000000000000000D+00
  0.114512562597230D+00  0.000000000000000D+00  0.000000000000000D+00
  0.189718154399878D+00  0.000000000000000D+00  0.000000000000000D+00
  0.263963257809189D+00  0.000000000000000D+00  0.000000000000000D+00
  0.337260146164386D+00  0.000000000000000D+00  0.000000000000000D+00
  0.409620936056780D+00  0.000000000000000D+00  0.000000000000000D+00
  0.481057589332746D+00  0.000000000000000D+00  0.000000000000000D+00
  0.551581915071112D+00  0.000000000000000D+00  0.000000000000000D+00
  0.621205571535301D+00  0.000000000000000D+00  0.000000000000000D+00
  0.689940068100540D+00  0.000000000000000D+00  0.000000000000000D+00
  0.757796767156457D+00  0.000000000000000D+00  0.000000000000000D+00
  0.824786885985374D+00  0.000000000000000D+00  0.000000000000000D+00
  0.890921498616632D+00  0.000000000000000D+00  0.000000000000000D+00
  0.956211537657203D+00  0.000000000000000D+00  0.000000000000000D+00
  0.102066779609895D+01  0.000000000000000D+00  0.000000000000000D+00
  0.108430092910281D+01  0.000000000000000D+00  0.000000000000000D+00
  0.114712145576016D+01  0.000000000000000D+00  0.000000000000000D+00
  0.120913976083172D+01  0.000000000000000D+00  0.000000000000000D+00
  0.127036609646426D+01  0.000000000000000D+00  0.000000000000000D+00
  0.133081058388533D+01  0.000000000000000D+00  0.000000000000000D+00
  0.139048321507642D+01  0.000000000000000D+00  0.000000000000000D+00
  0.144939385442469D+01  0.000000000000000D+00  0.000000000000000D+00
  0.150755224035366D+01  0.000000000000000D+00  0.000000000000000D+00
  0.156496798693302D+01  0.000000000000000D+00  0.000000000000000D+00
  0.162165058546796D+01  0.000000000000000D+00  0.000000000000000D+00
  0.167760940606812D+01  0.000000000000000D+00  0.000000000000000D+00
  0.173285369919660D+01  0.000000000000000D+00  0.000000000000000D+00
  0.178739259719907D+01  0.000000000000000D+00  0.000000000000000D+00
  0.184123511581348D+01  0.000000000000000D+00  0.000000000000000D+00
  0.189439015566042D+01  0.000000000000000D+00  0.000000000000000D+00
  0.194686650371445D+01  0.000000000000000D+00  0.000000000000000D+00
  0.199867283475669D+01  0.000000000000000D+00  0.000000000000000D+00
  0.204981771280882D+01  0.000000000000000D+00  0.000000000000000D+00
  0.210030959254878D+01  0.000000000000000D+00  0.000000000000000D+00
  0.215015682070840D+01  0.000000000000000D+00  0.000000000000000D+00
  0.219936763745319D+01  0.000000000000000D+00  0.000000000000000D+00
  0.224795017774453D+01  0.000000000000000D+00  0.000000000000000D+00
  0.229591247268438D+01  0.000000000000000D+00  0.000000000000000D+00
  0.234326245084297D+01  0.000000000000000D+00  0.000000000000000D+00
  0.239000793956942D+01  0.000000000000000D+00  0.000000000000000D+00
  0.243615666628565D+01  0.000000000000000D+00  0.000000000000000D+00
  0.248171625976383D+01  0.000000000000000D+00  0.000000000000000D+00
  0.252669425138744D+01  0.000000000000000D+00  0.000000000000000D+00
  0.257109807639629D+01  0.000000000000000D+00  0.000000000000000D+00
  0.261493507511563D+01  0.000000000000000D+00  0.000000000000000D+00
  0.265821249416958D+01  0.000000000000000D+00  0.000000000000000D+00
  0.270093748767901D+01  0.000000000000000D+00  0.000000000000000D+00
  0.274311711844421D+01  0.000000000000000D+00  0.000000000000000D+00
  0.278475835911247D+01  0.000000000000000D+00  0.000000000000000D+00
  0.282586809333061D+01  0.000000000000000D+00  0.000000000000000D+00
  0.286645311688303D+01  0.000000000000000D+00  0.000000000000000D+00
  0.290652013881501D+01  0.000000000000000D+00  0.000000000000000D+00
  0.294607578254183D+01  0.000000000000000D+00  0.000000000000000D+00
  0.298512658694364D+01  0.000000000000000D+00  0.000000000000000D+00
  0.302367900744643D+01  0.000000000000000D+00  0.000000000000000D+00
  0.306173941708913D+01  0.000000000000000D+00  0.000000000000000D+00
  0.309931410757716D+01  0.000000000000000D+00  0.000000000000000D+00
  0.313640929032245D+01  0.000000000000000D+00  0.000000000000000D+00
  0.317303109747032D+01  0.000000000000000D+00  0.000000000000000D+00
  0.320918558291307D+01  0.000000000000000D+00  0.000000000000000D+00
  0.324487872329086D+01  0.000000000000000D+00  0.000000000000000D+00
  0.328011641897958D+01  0.000000000000000D+00  0.000000000000000D+00
  0.331490449506633D+01  0.000000000000000D+00  0.000000000000000D+00
  0.334924870231227D+01  0.000000000000000D+00  0.000000000000000D+00
  0.338315471810337D+01  0.000000000000000D+00  0.000000000000000D+00
  0.341662814738881D+01  0.000000000000000D+00  0.000000000000000D+00
  0.344967452360762D+01  0.000000000000000D+00  0.000000000000000D+00
  0.348229930960338D+01  0.000000000000000D+00  0.000000000000000D+00
  0.351450789852725D+01  0.000000000000000D+00  0.000000000000000D+00
  0.354630561472950D+01  0.000000000000000D+00  0.000000000000000D+00
  0.357769771463973D+01  0.000000000000000D+00  0.000000000000000D+00
  0.360868938763573D+01  0.000000000000000D+00  0.000000000000000D+00
  0.363928575690136D+01  0.000000000000000D+00  0.000000000000000D+00
  0.366949188027346D+01  0.000000000000000D+00  0.000000000000000D+00
  0.369931275107794D+01  0.000000000000000D+00  0.000000000000000D+00
  0.372875329895524D+01  0.000000000000000D+00  0.000000000000000D+00
  0.375781839067521D+01  0.000000000000000D+00  0.000000000000000D+00
  0.378651283094164D+01  0.000000000000000D+00  0.000000000000000D+00
  0.381484136318654D+01  0.000000000000000D+00  0.000000000000000D+00
  0.384280867035423D+01  0.000000000000000D+00  0.000000000000000D+00
  0.387041937567551D+01  0.000000000000000D+00  0.000000000000000D+00
  0.389767804343188D+01  0.000000000000000D+00  0.000000000000000D+00
  0.392458917971008D+01  0.000000000000000D+00  0.000000000000000D+00
  0.395115723314699D+01  0.000000000000000D+00  0.000000000000000D+00
  0.397738659566501D+01  0.000000000000000D+00  0.000000000000000D+00
  0.400328160319807D+01  0.000000000000000D+00  0.000000000000000D+00
  0.402884653640842D+01  0.000000000000000D+00  0.000000000000000D+00
  0.405408562139427D+01  0.000000000000000D+00  0.000000000000000D+00
  0.407900303038836D+01  0.000000000000000D+00  0.000000000000000D+00
  0.410360288244769D+01  0.000000000000000D+00  0.000000000000000D+00
  0.412788924413445D+01  0.000000000000000D+00  0.000000000000000D+00
  0.415186613018821D+01  0.000000000000000D+00  0.000000000000000D+00
  0.417553750418963D+01  0.000000000000000D+00  0.000000000000000D+00
  0.419890727921567D+01  0.000000000000000D+00  0.000000000000000D+00
  0.422197931848644D+01  0.000000000000000D+00  0.000000000000000D+00
  0.424475743600383D+01  0.000000000000000D+00  0.000000000000000D+00
  0.426724539718198D+01  0.000000000000000D+00  0.000000000000000D+00
  0.428944691946978D+01  0.000000000000000D+00  0.000000000000000D+00
  0.431136567296534D+01  0.000000000000000D+00  0.000000000000000D+00
  0.433300528102273D+01  0.000000000000000D+00  0.000000000000000D+00
  0.435436932085091D+01  0.000000000000000D+00  0.000000000000000D+00
  0.437546132410514D+01  0.000000000000000D+00  0.000000000000000D+00
  0.439628477747070D+01  0.000000000000000D+00  0.000000000000000D+00
  0.441684312323935D+01  0.000000000000000D+00  0.000000000000000D+00
  0.443713975987832D+01  0.000000000000000D+00  0.000000000000000D+00
  0.445717804259215D+01  0.000000000000000D+00  0.000000000000000D+00
  0.447696128387727D+01  0.000000000000000D+00  0.000000000000000D+00
  0.449649275406964D+01  0.000000000000000D+00  0.000000000000000D+00
  0.451577568188534D+01  0.000000000000000D+00  0.000000000000000D+00
  0.453481325495431D+01  0.000000000000000D+00  0.000000000000000D+00
  0.455360862034729D+01  0.000000000000000D+00  0.000000000000000D+00
  0.457216488509605D+01  0.000000000000000D+00  0.000000000000000D+00
  0.459048511670701D+01  0.000000000000000D+00  0.000000000000000D+00
  0.460857234366836D+01  0.000000000000000D+00  0.000000000000000D+00
  0.462642955595062D+01  0.000000000000000D+00  0.000000000000000D+00
  0.464405970550099D+01  0.000000000000000D+00  0.000000000000000D+00
  0.466146570673127D+01  0.000000000000000D+00  0.000000000000000D+00
  0.467865043699967D+01  0.000000000000000D+00  0.000000000000000D+00
  0.469561673708645D+01  0.000000000000000D+00  0.000000000000000D+00
  0.471236741166352D+01  0.000000000000000D+00  0.000000000000000D+00
  0.472890522975810D+01  0.000000000000000D+00  0.000000000000000D+00
  0.474523292521041D+01  0.000000000000000D+00  0.000000000000000D+00
  0.476135319712568D+01  0.000000000000000D+00  0.000000000000000D+00
  0.477726871032024D+01  0.000000000000000D+00  0.000000000000000D+00
  0.479298209576212D+01  0.000000000000000D+00  0.000000000000000D+00
  0.480849595100592D+01  0.000000000000000D+00  0.000000000000000D+00
  0.482381284062222D+01  0.000000000000000D+00  0.000000000000000D+00
  0.483893529662152D+01  0.000000000000000D+00  0.000000000000000D+00
  0.485386581887284D+01  0.000000000000000D+00  0.000000000000000D+00
  0.486860687551690D+01  0.000000000000000D+00  0.000000000000000D+00
  0.488316090337419D+01  0.000000000000000D+00  0.000000000000000D+00
  0.489753030834777D+01  0.000000000000000D+00  0.000000000000000D+00
  0.491171746582097D+01  0.000000000000000D+00  0.000000000000000D+00
  0.492572472105009D+01  0.000000000000000D+00  0.000000000000000D+00
  0.493955438955208D+01  0.000000000000000D+00  0.000000000000000D+00
  0.495320875748730D+01  0.000000000000000D+00  0.000000000000000D+00
  0.496669008203747D+01  0.000000000000000D+00  0.000000000000000D+00
  0.498000059177877D+01  0.000000000000000D+00  0.000000000000000D+00
  0.499314248705026D+01  0.000000000000000D+00  0.000000000000000D+00
  0.500611794031763D+01  0.000000000000000D+00  0.000000000000000D+00
  0.501892909653228D+01  0.000000000000000D+00  0.000000000000000D+00
  0.503157807348595D+01  0.000000000000000D+00  0.000000000000000D+00
  0.504406696216077D+01  0.000000000000000D+00  0.000000000000000D+00
  0.505639782707495D+01  0.000000000000000D+00  0.000000000000000D+00
  0.506857270662402D+01  0.000000000000000D+00  0.000000000000000D+00
  0.508059361341785D+01  0.000000000000000D+00  0.000000000000000D+00
  0.509246253461330D+01  0.000000000000000D+00  0.000000000000000D+00
  0.510418143224273D+01  0.000000000000000D+00  0.000000000000000D+00
  0.511575224353836D+01  0.000000000000000D+00  0.000000000000000D+00
  0.512717688125248D+01  0.000000000000000D+00  0.000000000000000D+00
  0.513845723397368D+01  0.000000000000000D+00  0.000000000000000D+00
  0.514959516643901D+01  0.000000000000000D+00  0.000000000000000D+00
  0.516059251984226D+01  0.000000000000000D+00  0.000000000000000D+00
  0.517145111213832D+01  0.000000000000000D+00  0.000000000000000D+00
  0.518217273834370D+01  0.000000000000000D+00  0.000000000000000D+00
  0.519275917083328D+01  0.000000000000000D+00  0.000000000000000D+00
  0.520321215963327D+01  0.000000000000000D+00  0.000000000000000D+00
  0.521353343271051D+01  0.000000000000000D+00  0.000000000000000D+00
  0.522372469625815D+01  0.000000000000000D+00  0.000000000000000D+00
  0.523378763497765D+01  0.000000000000000D+00  0.000000000000000D+00
  0.524372391235731D+01  0.000000000000000D+00  0.000000000000000D+00
  0.525353517094723D+01  0.000000000000000D+00  0.000000000000000D+00
  0.526322303263088D+01  0.000000000000000D+00  0.000000000000000D+00
  0.527278909889316D+01  0.000000000000000D+00  0.000000000000000D+00
  0.528223495108518D+01  0.000000000000000D+00  0.000000000000000D+00
  0.529156215068564D+01  0.000000000000000D+00  0.000000000000000D+00
  0.530077223955900D+01  0.000000000000000D+00  0.000000000000000D+00
  0.530986674021029D+01  0.000000000000000D+00  0.000000000000000D+00
  0.531884715603687D+01  0.000000000000000D+00  0.000000000000000D+00
  0.532771497157691D+01  0.000000000000000D+00  0.000000000000000D+00
  0.533647165275480D+01  0.000000000000000D+00  0.000000000000000D+00
  0.534511864712349D+01  0.000000000000000D+00  0.000000000000000D+00
  0.535365738410378D+01  0.000000000000000D+00  0.000000000000000D+00
  0.536208927522062D+01  0.000000000000000D+00  0.000000000000000D+00
  0.537041571433644D+01  0.000000000000000D+00  0.000000000000000D+00
  0.537863807788156D+01  0.000000000000000D+00  0.000000000000000D+00
  0.538675772508173D+01  0.000000000000000D+00  0.000000000000000D+00
  0.539477599818285D+01  0.000000000000000D+00  0.000000000000000D+00
  0.540269422267281D+01  0.000000000000000D+00  0.000000000000000D+00
  0.541051370750062D+01  0.000000000000000D+00  0.000000000000000D+00
  0.541823574529281D+01  0.000000000000000D+00  0.000000000000000D+00
  0.542586161256709D+01  0.000000000000000D+00  0.000000000000000D+00
  0.543339256994337D+01  0.000000000000000D+00  0.000000000000000D+00
  0.544082986235217D+01  0.000000000000000D+00  0.000000000000000D+00
  0.544817471924038D+01  0.000000000000000D+00  0.000000000000000D+00
  0.545542835477456D+01  0.000000000000000D+00  0.000000000000000D+00
  0.546259196804157D+01  0.000000000000000D+00  0.000000000000000D+00
  0.546966674324687D+01  0.000000000000000D+00  0.000000000000000D+00
  0.547665384991022D+01  0.000000000000000D+00  0.000000000000000D+00
  0.548355444305904D+01  0.000000000000000D+00  0.000000000000000D+00
  0.549036966341935D+01  0.000000000000000D+00  0.000000000000000D+00
  0.549710063760430D+01  0.000000000000000D+00  0.000000000000000D+00
  0.550374847830049D+01  0.000000000000000D+00  0.000000000000000D+00
  0.551031428445180D+01  0.000000000000000D+00  0.000000000000000D+00
  0.551679914144114D+01  0.000000000000000D+00  0.000000000000000D+00
  0.552320412126986D+01  0.000000000000000D+00  0.000000000000000D+00
  0.552953028273491D+01  0.000000000000000D+00  0.000000000000000D+00
  0.553577867160392D+01  0.000000000000000D+00  0.000000000000000D+00
  0.554195032078806D+01  0.000000000000000D+00  0.000000000000000D+00
  0.554804625051277D+01  0.000000000000000D+00  0.000000000000000D+00
  0.555406746848644D+01  0.000000000000000D+00  0.000000000000000D+00
  0.556001497006698D+01  0.000000000000000D+00  0.000000000000000D+00
  0.556588973842636D+01  0.000000000000000D+00  0.000000000000000D+00
  0.557169274471313D+01  0.000000000000000D+00  0.000000000000000D+00
  0.557742494821298D+01  0.000000000000000D+00  0.000000000000000D+00
  0.558308729650729D+01  0.000000000000000D+00  0.000000000000000D+00
  0.558868072562979D+01  0.000000000000000D+00  0.000000000000000D+00
  0.559420616022131D+01  0.000000000000000D+00  0.000000000000000D+00
  0.559966451368259D+01  0.000000000000000D+00  0.000000000000000D+00
  0.560505668832532D+01  0.000000000000000D+00  0.000000000000000D+00
  0.561038357552124D+01  0.000000000000000D+00  0.000000000000000D+00
  0.561564605584956D+01  0.000000000000000D+00  0.000000000000000D+00
  0.562084499924247D+01  0.000000000000000D+00  0.000000000000000D+00
  0.562598126512900D+01  0.000000000000000D+00  0.000000000000000D+00
